c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20
Colitis	0.0908053084716739	0.0447605004043191	0.225705180040908	0.0506588022641868	0.0889501974028445	0.0334871331398944	0.0790562717024212	0.0308233839128573	0.107406174190173	0.0950387670646435	0.0430956571374209	0.019217047995053	0.056461970223089	0.0166484326689816	0.00608856966179898	0.00195024496979499	0.00428102554345241	0.00456642724634924	0.000428102554345241	0.000570803405793655
Control	0.279560919245089	0.163178841956605	0.00320965464116061	0.11131082295545	0.078957504172551	0.0846706894338169	0.0676595198356657	0.084991654897933	0.0068044678392605	0.00282449608422134	0.0464757992040057	0.038708434972397	0.000128386185646424	0.00661188856079086	0.012710232378996	0.00372319938374631	0.00430093721915522	0.00179740659904994	0.00128386185646424	0.00109128257799461
NoColitis	0.301749837977965	0.161892417368762	0.00265716137394686	0.118470511989631	0.0741412832145172	0.102657161373947	0.0527543745949449	0.0607258587167855	0.0156837329876863	0.00771224886584576	0.0241736876215165	0.0375243033052495	0.000129617627997408	0.0128321451717434	0.00998055735580039	0.00861957226182761	0.00466623460790668	0.00142579390797148	0.00116655865197667	0.00103694102397926
