Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	31/78	1.72122286620983e-24	4.54402836679396e-22	18.0584348669455	988.139627955204	CD74;HSPA6;TAP1;TAPBP;IFNG;HLA-DQB1;HLA-DRA;HSPA1A;CALR;TNF;B2M;HLA-DQA2;HLA-DOA;HLA-DQA1;PDIA3;HLA-DRB5;HLA-C;CD8B2;HLA-A;HLA-B;HLA-E;HLA-F;CD8B;CD8A;PSME2;HLA-DPB1;PSME1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	1	KEGG_2021_Human
Allograft rejection	22/38	2.4150510296465e-22	3.18786735913339e-20	37.2294303797468	1853.100542202	HLA-DRB5;IL10;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;FAS;IFNG;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;PRF1;TNF;FASLG;HLA-DMB;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	2	KEGG_2021_Human
Graft-versus-host disease	21/42	1.3802119154075e-19	1.2145864855586e-17	27.0308988764045	1173.8675941647	HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;FAS;IFNG;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;PRF1;TNF;FASLG;HLA-DMB;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	3	KEGG_2021_Human
Viral myocarditis	24/60	2.47455894916991e-19	1.37595268427006e-17	18.0827456511519	774.720059053141	CAV1;HLA-DQB1;HLA-DRA;CCND1;CASP3;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;HLA-DPB1;HLA-DRB1;ITGB2;PRF1;ITGAL;HLA-DMB;HLA-DPA1;FYN;RAC2;HLA-DMA	4	KEGG_2021_Human
Type I diabetes mellitus	21/43	2.60597099293572e-19	1.37595268427006e-17	25.8008810010215	1104.05353380244	HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;FAS;IFNG;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;PRF1;TNF;FASLG;HLA-DMB;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	5	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	30/131	4.77908447317267e-16	2.10279716819598e-14	8.09796769150599	285.672917214334	FAS;PTPN6;TNF;SH2D1A;HLA-C;HLA-A;PRKCB;HLA-B;TNFRSF10A;HLA-E;PIK3R1;PRF1;FASLG;KLRK1;PLCG2;NFATC2;IFNG;HCST;CD244;FCGR3A;PPP3CC;CASP3;IFNGR1;LCK;ZAP70;CD48;ITGB2;ITGAL;FYN;RAC2	6	KEGG_2021_Human
Autoimmune thyroid disease	20/53	9.61313923810877e-16	3.62552679837245e-14	16.3491861107569	565.325928352254	IL10;FAS;HLA-DQB1;HLA-DRA;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;HLA-DPB1;HLA-DRB1;PRF1;FASLG;HLA-DMB;HLA-DPA1;HLA-DMA	7	KEGG_2021_Human
Cell adhesion molecules	30/148	1.60902174764879e-14	5.309771767241e-13	6.92516334353979	219.947099938492	CADM1;VCAM1;PDCD1;HLA-DOA;HLA-DRB5;HLA-C;CD8B2;HLA-A;HLA-B;HLA-E;HLA-F;CD8B;CD8A;SELL;HLA-DRB1;ICAM3;CD99;PTPRC;HLA-DQB1;HLA-DRA;PECAM1;HLA-DQA2;HLA-DQA1;HLA-DPB1;ITGB2;ITGAL;HLA-DMB;HLA-DPA1;HLA-DMA;TIGIT	8	KEGG_2021_Human
Human cytomegalovirus infection	36/225	8.34375384238461e-14	2.39621297498554e-12	5.21363667418187	157.006990099338	CALM2;GNG2;E2F3;B2M;HLA-C;HLA-A;PRKCB;HLA-B;HLA-E;HLA-F;PIK3R1;IL10RA;NFATC2;CALR;ARHGEF1;PPP3CC;CCR5;CXCR4;RAC2;TAP1;FAS;TNF;CCND1;PDIA3;CREB3;GNB2;GNB4;PXN;CCL4L2;FASLG;TAPBP;CCL3L1;CASP3;CCL5;CCL4;CCL3	9	KEGG_2021_Human
Epstein-Barr virus infection	34/202	9.07656429918766e-14	2.39621297498554e-12	5.52971932692963	166.060211706767	E2F3;B2M;HLA-DRB5;GADD45B;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;PIK3R1;HLA-DRB1;PLCG2;HLA-DQB1;CALR;HLA-DQA2;HLA-DQA1;HLA-DPB1;CD44;HLA-DMB;HLA-DPA1;HLA-DMA;TAP1;FAS;TNF;CCND3;CCND1;HLA-DOA;PDIA3;OAS1;TAPBP;HLA-DRA;CASP3;HDAC1;ITGAL	10	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	35/219	1.92025864178942e-13	4.6086207402946e-12	5.20045627258004	152.275321062168	E2F3;B2M;EGR2;HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;PIK3R1;HLA-DRB1;ANAPC10;NFATC2;HLA-DQB1;ATM;CALR;PPP3CC;HLA-DQA2;HLA-DQA1;HLA-DPB1;HLA-DMB;HLA-DPA1;TSPO;HLA-DMA;TNF;CCND3;CCND1;HLA-DOA;CREB3;MAD1L1;HLA-DRA;LCK;IL2RB;ITGB2;ITGAL	11	KEGG_2021_Human
Leishmaniasis	21/77	3.05623473725211e-13	6.72371642195465e-12	10.1181530898876	291.568974647668	IL10;IFNG;HLA-DQB1;HLA-DRA;PTPN6;TNF;FCGR3A;HLA-DQA2;HLA-DOA;HLA-DQA1;MARCKSL1;HLA-DRB5;IFNGR1;PRKCB;CYBA;HLA-DPB1;HLA-DRB1;ITGB2;HLA-DMB;HLA-DPA1;HLA-DMA	12	KEGG_2021_Human
Phagosome	28/152	1.45727626279399e-12	2.95939179521241e-11	6.13136582017845	167.107015415886	TAP1;TUBA4A;STX7;HLA-DOA;ATP6V0C;HLA-DRB5;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;HLA-F;HLA-DRB1;CORO1A;TUBB2A;HLA-DQB1;HLA-DRA;CALR;FCGR3A;HLA-DQA2;HLA-DQA1;ATP6V0E1;TUBB4A;HLA-DPB1;ITGB2;HLA-DMB;HLA-DPA1;HLA-DMA	13	KEGG_2021_Human
Asthma	13/31	2.17231529167396e-11	4.09636597858518e-10	19.3084104938272	474.072499508996	HLA-DRB5;IL10;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;TNF;HLA-DMB;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	14	KEGG_2021_Human
Influenza A	28/172	3.21769346616058e-11	5.66314050044262e-10	5.27427107959023	127.425182713808	MX1;FAS;TNF;PYCARD;CCND3;HLA-DOA;HLA-DRB5;PRKCB;TNFRSF10A;PIK3R1;HLA-DRB1;FASLG;OAS1;IFNG;HLA-DQB1;HLA-DRA;TLR3;DNAJB1;CASP3;CASP1;HLA-DQA2;HLA-DQA1;IFNGR1;HLA-DPB1;HLA-DMB;CCL5;HLA-DPA1;HLA-DMA	15	KEGG_2021_Human
Human immunodeficiency virus 1 infection	31/212	4.90464741462721e-11	8.09266823413489e-10	4.65651414270199	110.53750995771	CALM2;GNG2;B2M;APOBEC3D;APOBEC3G;HLA-C;HLA-A;PRKCB;HLA-B;HLA-E;HLA-F;PIK3R1;APOBEC3C;PLCG2;NFATC2;ATM;CALR;PPP3CC;CCR5;CXCR4;RAC2;TAP1;FAS;TNF;PDIA3;GNB2;GNB4;PXN;FASLG;TAPBP;CASP3	16	KEGG_2021_Human
Inflammatory bowel disease	17/65	1.16382190869546e-10	1.80734696409177e-09	9.50660498137803	217.455428400776	IL10;IFNG;HLA-DQB1;HLA-DRA;IL21R;TNF;TBX21;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;IFNGR1;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	17	KEGG_2021_Human
Rheumatoid arthritis	20/93	1.27102987098679e-10	1.86417714411395e-09	7.37535783588542	168.05507649776	IFNG;HLA-DQB1;HLA-DRA;CCL3L1;TNF;HLA-DQA2;HLA-DOA;HLA-DQA1;ATP6V0C;ATP6V0E1;HLA-DRB5;HLA-DPB1;HLA-DRB1;ITGB2;ITGAL;HLA-DMB;CCL5;HLA-DPA1;CCL3;HLA-DMA	18	KEGG_2021_Human
Th17 cell differentiation	21/107	2.68954311354912e-10	3.73704937882615e-09	6.57827606480272	144.962046285567	IL21R;RXRB;TBX21;HLA-DOA;HLA-DRB5;HLA-DRB1;NFATC2;IFNG;HLA-DQB1;HLA-DRA;PPP3CC;HLA-DQA2;HLA-DQA1;IFNGR1;LCK;ZAP70;IL2RB;HLA-DPB1;HLA-DMB;HLA-DPA1;HLA-DMA	19	KEGG_2021_Human
Toxoplasmosis	21/112	6.52941509540432e-10	8.6188279259337e-09	6.2152117545376	131.448829601119	HSPA1A;TNF;HLA-DOA;HLA-DRB5;HLA-DRB1;IL10;HSPA6;IL10RA;IFNG;HLA-DQB1;HLA-DRA;CASP3;CCR5;HLA-DQA2;HLA-DQA1;IFNGR1;HLA-DPB1;PIK3CG;HLA-DMB;HLA-DPA1;HLA-DMA	20	KEGG_2021_Human
Th1 and Th2 cell differentiation	19/92	7.67841185462319e-10	9.65286061724058e-09	6.99677679290894	146.844420497882	NFATC2;IFNG;HLA-DQB1;HLA-DRA;PPP3CC;TBX21;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DRB5;IFNGR1;LCK;ZAP70;IL2RB;HLA-DPB1;HLA-DRB1;HLA-DMB;HLA-DPA1;HLA-DMA	21	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	27/193	2.35568007964943e-09	2.82681609557932e-08	4.40055121335199	87.4232706729827	CALM2;GNG2;E2F3;GABARAPL2;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;PIK3R1;PDGFB;PLCG2;NFATC2;TLR3;PPP3CC;CCR5;IFNGR1;FAS;CCND1;GNB2;GNB4;UBC;UBB;CASP3;TCF7L2;CLEC2B;PIK3CG	22	KEGG_2021_Human
Tuberculosis	25/180	1.06833821910947e-08	1.22626647758653e-07	4.35392746491708	79.9144941598587	CD74;CALM2;TNF;HLA-DOA;ATP6V0C;HLA-DRB5;HLA-DRB1;CORO1A;IL10;IL10RA;IFNG;HLA-DQB1;HLA-DRA;FCGR3A;PPP3CC;CASP3;HLA-DQA2;HLA-DQA1;IFNGR1;HLA-DPB1;ITGB2;CEBPG;HLA-DMB;HLA-DPA1;HLA-DMA	23	KEGG_2021_Human
Intestinal immune network for IgA production	13/48	1.1420011065713e-08	1.25620121722843e-07	9.92126984126984	181.439177472786	HLA-DRB5;IL10;HLA-DQB1;HLA-DRA;HLA-DPB1;HLA-DRB1;HLA-DMB;CXCR4;HLA-DPA1;HLA-DMA;HLA-DQA2;HLA-DOA;HLA-DQA1	24	KEGG_2021_Human
Hematopoietic cell lineage	18/99	1.8008985987315e-08	1.90174892026046e-07	5.96301476301476	106.334834538187	TNF;HLA-DOA;HLA-DRB5;CD8B2;CD8B;CD8A;HLA-DRB1;HLA-DQB1;HLA-DRA;MS4A1;CD37;HLA-DQA2;HLA-DQA1;HLA-DPB1;CD44;HLA-DMB;HLA-DPA1;HLA-DMA	25	KEGG_2021_Human
Chemokine signaling pathway	25/192	3.97088893500053e-08	4.03197953400054e-07	4.03853310328496	68.8234322751311	GNG2;PRKCB;PIK3R1;GNB2;GNB4;PXN;CCL4L2;PLCG2;XCL1;XCL2;CCL3L1;RAP1B;GRK6;CCR5;FGR;CX3CR1;CXCR5;WAS;PIK3CG;CXCR4;CCL5;CXCR3;CCL4;CCL3;RAC2	26	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	17/100	1.24933566981956e-07	1.22157265493468e-06	5.48778353638016	87.230973779458	TNF;TNFRSF10A;CCL4L2;IL10;XCL1;IL10RA;XCL2;CCL3L1;CCR5;IL2RB;CX3CR1;CXCR5;CXCR4;CCL5;CXCR3;CCL4;CCL3	27	KEGG_2021_Human
